,T2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
1990-05-03,20.09,4.1,7.98
1990-05-04,21.71,3.59,16.59
1990-05-05,12.5,2.32,1.14
1990-05-06,12.02,5.16,0.6
1990-05-07,14.07,8.34,0.0
1990-05-08,16.07,6.87,0.04
1990-05-09,17.38,2.22,6.78
1990-05-10,12.02,7.05,3.45
1990-05-11,13.07,4.95,0.89
1990-05-12,16.83,3.25,4.18
1990-05-13,19.0,5.61,0.49
1990-05-14,18.58,7.34,0.0
1990-05-15,20.61,6.25,2.78
1990-05-16,23.05,5.49,6.39
1990-05-17,18.82,7.32,23.33
1990-05-18,18.35,7.93,0.01
1990-05-19,19.45,6.69,2.06
1990-05-20,20.98,3.36,19.72
1990-05-21,19.89,4.16,5.78
1990-05-22,15.68,1.8,0.14
1990-05-23,15.89,4.36,0.0
1990-05-24,18.91,7.58,0.01
1990-05-25,20.42,4.26,0.41
1990-05-26,22.03,4.93,5.15
1990-05-27,21.45,5.35,7.46
1990-05-28,18.5,3.34,1.43
1990-05-29,17.53,7.73,0.0
1990-05-30,18.04,5.37,0.05
1990-05-31,20.31,6.37,0.03
1990-06-01,20.95,6.33,1.47
1990-06-02,22.92,5.58,9.72
1990-06-03,21.31,4.21,10.01
1990-06-04,16.71,7.8,0.0
1990-06-05,17.42,8.04,0.0
1990-06-06,22.08,7.11,1.21
1990-06-07,24.34,6.72,1.55
1990-06-08,24.87,7.66,0.68
1990-06-09,24.91,7.18,0.7
1990-06-10,22.41,7.87,0.06
1990-06-11,20.49,8.28,0.0
1990-06-12,21.25,8.18,0.0
1990-06-13,23.36,7.1,0.64
1990-06-14,24.57,5.95,2.41
1990-06-15,25.47,5.88,0.69
1990-06-16,26.47,6.69,0.0
1990-06-17,25.9,6.52,3.74
1990-06-18,25.33,5.9,4.44
1990-06-19,24.15,8.12,0.0
1990-06-20,25.81,7.7,9.38
1990-06-21,25.5,5.08,10.38
1990-06-22,23.73,6.25,6.02
1990-06-23,21.19,6.02,0.23
1990-06-24,20.89,7.38,0.0
1990-06-25,21.96,8.2,0.0
1990-06-26,23.64,7.88,0.0
1990-06-27,26.27,7.39,0.0
1990-06-28,26.6,7.44,0.0
1990-06-29,27.5,6.62,0.02
1990-06-30,28.18,6.81,0.85
1990-07-01,27.56,5.8,3.65
1990-07-02,26.04,7.74,0.06
1990-07-03,26.16,7.34,0.0
1990-07-04,27.69,7.4,0.0
1990-07-05,28.15,7.55,0.43
1990-07-06,27.35,5.91,3.79
1990-07-07,28.54,7.04,0.09
1990-07-08,29.38,5.13,1.43
1990-07-09,29.91,3.99,4.82
1990-07-10,29.42,4.91,5.01
1990-07-11,26.78,5.64,23.76
1990-07-12,23.79,2.26,20.13
1990-07-13,20.97,2.81,10.46
1990-07-14,21.52,4.95,0.17
1990-07-15,21.02,6.59,0.0
1990-07-16,22.15,5.47,0.0
1990-07-17,24.13,6.98,0.21
1990-07-18,24.68,5.06,1.81
1990-07-19,25.72,6.34,0.88
1990-07-20,25.32,5.76,6.28
1990-07-21,25.9,6.25,15.04
1990-07-22,25.86,4.82,11.01
1990-07-23,22.97,5.16,0.81
1990-07-24,24.1,6.22,0.02
1990-07-25,24.46,6.58,0.0
1990-07-26,26.11,6.76,0.0
1990-07-27,26.97,5.97,0.01
1990-07-28,27.05,6.35,0.0
1990-07-29,27.29,6.56,0.0
1990-07-30,27.39,4.93,1.27
1990-07-31,26.85,6.46,0.01
1990-08-01,25.47,6.16,0.06
1990-08-02,26.28,4.52,0.04
1990-08-03,27.08,6.57,4.63
1990-08-04,27.08,4.89,14.41
1990-08-05,24.36,4.41,6.27
1990-08-06,23.29,4.89,0.11
1990-08-07,20.07,6.66,0.0
1990-08-08,22.84,6.14,0.3
1990-08-09,24.32,5.61,5.72
1990-08-10,24.75,5.7,0.86
1990-08-11,25.55,6.2,0.06
1990-08-12,26.84,5.51,0.57
1990-08-13,26.24,5.0,0.9
1990-08-14,26.24,6.06,0.16
1990-08-15,25.81,6.42,0.0
1990-08-16,26.55,5.85,0.0
1990-08-17,28.27,6.41,0.03
1990-08-18,30.56,6.01,0.0
1990-08-19,31.42,5.98,0.4
1990-08-20,30.64,5.24,1.61
1990-08-21,28.46,4.99,2.43
1990-08-22,26.62,4.68,0.21
1990-08-23,26.49,5.09,0.11
1990-08-24,26.15,5.92,0.0
1990-08-25,27.23,6.66,0.0
1990-08-26,28.21,6.02,0.0
1990-08-27,29.73,5.97,0.0
1990-08-28,30.56,6.26,0.1
1990-08-29,29.88,4.5,6.66
1990-08-30,25.63,6.49,0.45
1990-08-31,26.11,5.85,0.0
1990-09-01,28.13,5.51,0.0
1990-09-02,30.0,5.53,0.0
1990-09-03,30.13,6.08,0.0
1990-09-04,29.23,5.75,0.0
1990-09-05,29.43,6.06,0.03
1990-09-06,31.21,6.06,0.05
1990-09-07,30.35,5.73,9.73
1990-09-08,26.79,4.43,2.26
1990-09-09,26.23,4.48,2.25
1990-09-10,25.63,4.21,4.7
1990-09-11,25.81,5.52,11.02
1990-09-12,24.26,2.7,8.09
1990-09-13,22.77,2.03,6.93
1990-09-14,24.48,3.85,7.77
1990-09-15,21.64,6.5,0.0
1990-09-16,21.09,6.26,0.0
1990-09-17,18.26,5.46,0.01
1990-09-18,20.99,5.4,0.14
1990-09-19,23.51,3.6,4.77
1990-09-20,23.28,4.42,8.69
1990-09-21,23.48,2.79,14.0
1990-09-22,19.72,5.65,7.41
1990-09-23,13.58,3.83,0.03
1990-09-24,13.16,5.78,0.0
1990-09-25,16.12,6.03,0.0
1990-09-26,19.85,5.49,0.0
1990-09-27,21.67,5.19,0.0
1990-09-28,22.1,5.0,0.0
1990-09-29,22.74,4.73,0.06
1990-09-30,20.4,2.78,0.06
1990-10-01,19.92,5.06,0.0
1990-10-02,20.12,5.47,0.0
1990-10-03,21.89,3.82,3.63
1990-10-04,19.79,3.37,32.68
1990-10-05,19.06,5.4,0.0
1990-10-06,19.05,4.85,0.57
1990-10-07,21.43,3.93,3.44
1990-10-08,23.0,1.59,8.35
1990-10-09,22.9,3.71,0.7
1990-10-10,13.61,0.78,3.42
1990-10-11,10.96,3.28,1.06
1990-10-12,14.17,2.33,2.64
1990-10-13,14.56,3.39,0.27
1990-10-14,15.62,5.09,0.0
1990-10-15,15.81,4.88,0.0
1990-10-16,17.99,4.78,0.41
1990-10-17,19.17,3.12,8.7
1990-10-18,12.44,4.92,6.64
1990-10-19,8.95,5.11,0.0
1990-10-20,12.38,4.87,0.0
1990-10-21,16.17,3.74,8.09
1990-10-22,14.53,0.74,26.04
1990-10-23,10.73,2.46,0.28
1990-10-24,10.33,4.77,0.08
1990-10-25,8.01,3.24,3.17
1990-10-26,6.11,4.49,0.0
1990-10-27,8.98,4.31,0.06
1990-10-28,8.11,4.57,0.0
1990-10-29,8.19,4.4,0.0
1990-10-30,11.72,4.41,0.0
1990-10-31,14.15,4.33,0.0
1990-11-01,14.33,4.17,0.0
1990-11-02,14.49,4.5,0.0
1990-11-03,15.11,4.17,0.0
1990-11-04,16.23,3.63,0.15
1990-11-05,11.03,1.32,9.56
1990-11-06,6.61,4.13,0.0
1990-11-07,7.18,3.28,0.04
1990-11-08,6.46,1.96,0.09
1990-11-09,6.5,0.46,53.38
1990-11-10,4.54,2.91,0.59
1990-11-11,7.72,3.97,0.0
1990-11-12,8.74,3.76,0.0
1990-11-13,7.98,4.0,0.0
1990-11-14,12.08,3.92,0.0
1990-11-15,11.9,3.79,0.0
1990-11-16,11.86,3.92,3.5
1990-11-17,5.91,3.63,0.0
1990-11-18,6.57,3.11,0.0
1990-11-19,9.04,1.69,0.06
1990-11-20,14.3,3.76,0.03
1990-11-21,14.71,3.29,0.02
1990-11-22,13.72,0.99,8.21
1990-11-23,10.91,2.97,1.5
1990-11-24,10.51,3.12,0.0
1990-11-25,11.67,3.49,0.06
1990-11-26,14.2,1.36,0.99
1990-11-27,18.25,2.75,4.28
1990-11-28,12.25,1.71,19.61
1990-11-29,2.81,3.29,0.0
1990-11-30,2.91,3.37,0.0
1990-12-01,6.98,2.71,1.27
1990-12-02,10.82,0.73,38.07
1990-12-03,11.46,0.75,18.49
1990-12-04,-0.09,2.51,0.0
1990-12-05,0.65,3.36,0.0
1990-12-06,3.48,3.02,0.0
1990-12-07,2.53,1.83,0.03
1990-12-08,2.26,3.52,0.0
1990-12-09,4.87,3.34,0.0
1990-12-10,6.51,3.28,0.0
1990-12-11,7.35,3.19,0.0
1990-12-12,9.81,2.81,0.36
1990-12-13,8.88,0.48,8.97
1990-12-14,8.61,2.01,2.48
1990-12-15,12.56,0.52,10.97
1990-12-16,4.81,1.59,1.52
1990-12-17,12.89,0.62,37.03
1990-12-18,11.71,0.49,15.09
1990-12-19,7.62,2.14,9.14
1990-12-20,9.43,0.6,31.06
1990-12-21,13.0,0.98,49.57
1990-12-22,11.65,0.62,48.24
1990-12-23,-2.34,0.51,14.93
1990-12-24,-7.48,2.56,0.01
1990-12-25,-3.91,3.11,0.03
1990-12-26,-2.21,2.26,0.16
1990-12-27,-0.03,0.52,32.49
1990-12-28,4.09,0.67,2.79
1990-12-29,11.54,0.62,8.24
1990-12-30,8.98,0.56,27.42
1990-12-31,-5.38,2.0,0.0
1991-01-01,1.5,3.11,0.0
1991-01-02,2.61,2.68,0.18
1991-01-03,-0.36,0.99,0.03
1991-01-04,0.39,1.39,0.07
1991-01-05,6.84,1.16,3.25
1991-01-06,8.61,0.43,14.44
1991-01-07,5.38,0.8,12.37
1991-01-08,6.4,0.91,0.96
1991-01-09,6.5,0.79,4.92
1991-01-10,6.2,0.6,19.61
1991-01-11,8.49,0.6,2.91
1991-01-12,0.24,0.61,0.49
1991-01-13,-0.6,1.88,0.08
1991-01-14,2.32,3.51,0.0
1991-01-15,5.2,0.76,5.38
1991-01-16,4.78,1.3,0.61
1991-01-17,1.9,3.57,0.01
1991-01-18,4.08,3.07,0.02
1991-01-19,5.38,0.33,2.71
1991-01-20,4.47,1.54,0.83
1991-01-21,-5.04,2.87,0.06
1991-01-22,-5.44,3.8,0.02
1991-01-23,-0.87,3.81,0.0
1991-01-24,-0.05,1.03,0.09
1991-01-25,-0.89,3.78,0.0
1991-01-26,0.42,3.32,0.44
1991-01-27,3.61,1.41,2.19
1991-01-28,4.66,1.35,0.84
1991-01-29,7.1,1.92,4.12
1991-01-30,4.63,0.64,2.3
1991-01-31,-1.95,4.18,0.0
1991-02-01,1.51,4.11,0.0
1991-02-02,4.66,4.14,0.0
1991-02-03,7.23,3.8,0.0
1991-02-04,11.02,2.42,2.43
1991-02-05,12.57,1.16,11.42
1991-02-06,13.58,1.35,4.65
1991-02-07,5.74,1.05,0.11
1991-02-08,3.34,1.15,0.02
1991-02-09,4.49,4.18,0.0
1991-02-10,5.28,4.37,0.0
1991-02-11,1.34,4.55,0.02
1991-02-12,6.24,4.42,0.04
1991-02-13,10.68,0.72,36.65
1991-02-14,3.42,2.1,0.85
1991-02-15,-7.82,2.84,0.53
1991-02-16,-5.12,4.32,0.04
1991-02-17,1.61,0.63,45.86
1991-02-18,9.74,1.24,58.77
1991-02-19,12.3,0.97,26.49
1991-02-20,4.47,2.39,2.27
1991-02-21,5.92,2.87,0.01
1991-02-22,6.19,1.74,2.6
1991-02-23,5.12,5.12,0.13
1991-02-24,6.74,3.33,0.18
1991-02-25,2.12,1.57,1.25
1991-02-26,0.08,5.32,0.0
1991-02-27,3.78,4.99,0.0
1991-02-28,7.25,5.28,0.04
1991-03-01,11.57,1.31,18.33
1991-03-02,14.27,4.13,6.79
1991-03-03,3.31,1.01,13.69
1991-03-04,2.35,3.12,0.14
1991-03-05,6.99,4.02,0.03
1991-03-06,12.61,1.98,1.57
1991-03-07,3.4,3.6,0.3
1991-03-08,2.96,5.08,1.04
1991-03-09,3.45,4.78,0.0
1991-03-10,2.84,5.21,0.0
1991-03-11,7.61,4.5,0.26
1991-03-12,10.32,1.67,10.53
1991-03-13,10.61,2.29,1.6
1991-03-14,5.13,1.36,0.43
1991-03-15,6.67,3.97,0.02
1991-03-16,9.99,5.2,0.0
1991-03-17,8.09,0.81,15.87
1991-03-18,8.72,2.41,0.74
1991-03-19,9.96,5.99,0.0
1991-03-20,12.44,4.18,0.41
1991-03-21,16.08,4.19,8.7
1991-03-22,19.42,3.49,12.25
1991-03-23,16.4,6.11,18.0
1991-03-24,12.07,6.6,0.0
1991-03-25,14.1,6.33,0.0
1991-03-26,16.47,5.36,1.26
1991-03-27,18.63,2.65,9.64
1991-03-28,11.07,4.17,24.67
1991-03-29,5.58,1.39,33.06
1991-03-30,2.72,5.85,0.01
1991-03-31,5.49,6.69,0.01
1991-04-01,10.25,6.54,0.06
1991-04-02,13.0,6.55,0.0
1991-04-03,13.49,4.64,0.14
1991-04-04,14.82,1.79,2.73
1991-04-05,17.6,6.47,3.0
1991-04-06,18.01,5.8,0.73
1991-04-07,19.31,5.67,4.71
1991-04-08,19.8,3.62,5.83
1991-04-09,18.65,3.16,3.67
1991-04-10,11.6,7.31,0.0
1991-04-11,13.05,5.79,0.51
1991-04-12,16.36,2.11,13.66
1991-04-13,18.43,1.86,8.69
1991-04-14,18.59,2.82,11.7
1991-04-15,17.63,6.74,13.77
1991-04-16,18.2,7.24,0.0
1991-04-17,18.87,7.58,0.01
1991-04-18,17.34,3.99,6.2
1991-04-19,17.93,3.78,3.49
1991-04-20,11.33,1.47,0.17
1991-04-21,9.18,3.91,0.21
1991-04-22,9.77,5.48,0.02
1991-04-23,12.52,5.58,0.0
1991-04-24,12.43,7.5,0.0
1991-04-25,15.26,6.34,0.01
1991-04-26,18.54,4.85,1.52
1991-04-27,19.28,1.58,8.5
1991-04-28,21.03,2.1,13.49
1991-04-29,20.6,1.94,9.52
1991-04-30,18.48,7.44,1.36
1991-05-01,16.87,5.94,0.01
1991-05-02,16.23,7.85,0.0
1991-05-03,17.9,4.55,4.82
1991-05-04,19.7,1.72,14.58
1991-05-05,19.48,3.0,8.57
1991-05-06,13.99,6.34,0.9
1991-05-07,16.29,7.78,0.0
1991-05-08,17.94,3.06,15.59
1991-05-09,19.62,4.67,1.01
1991-05-10,20.99,3.31,6.58
1991-05-11,21.4,5.11,16.79
1991-05-12,21.8,4.23,9.82
1991-05-13,21.99,3.04,0.41
1991-05-14,22.88,6.7,0.02
1991-05-15,23.97,6.86,0.68
1991-05-16,23.25,6.35,0.42
1991-05-17,24.59,6.44,3.19
1991-05-18,22.27,5.56,3.88
1991-05-19,22.91,4.45,8.37
1991-05-20,21.85,5.64,2.37
1991-05-21,21.61,4.97,0.27
1991-05-22,22.26,4.43,0.25
1991-05-23,23.27,5.63,0.13
1991-05-24,23.59,6.51,0.44
1991-05-25,22.68,3.88,11.2
1991-05-26,23.19,3.31,13.85
1991-05-27,23.06,3.03,7.22
1991-05-28,24.1,4.36,1.27
1991-05-29,25.34,6.67,0.12
1991-05-30,25.51,7.42,0.15
1991-05-31,24.75,7.13,1.34
1991-06-01,24.08,5.64,3.72
1991-06-02,24.43,5.86,0.3
1991-06-03,24.49,6.96,3.86
1991-06-04,24.03,4.8,6.8
1991-06-05,20.12,8.26,0.0
1991-06-06,19.82,6.25,0.04
1991-06-07,20.83,6.7,0.06
1991-06-08,21.23,5.74,0.35
1991-06-09,22.97,6.51,0.0
1991-06-10,22.53,6.73,1.05
1991-06-11,21.62,3.24,5.08
1991-06-12,23.1,4.87,8.86
1991-06-13,23.82,5.51,7.08
1991-06-14,24.2,5.57,2.19
1991-06-15,24.07,5.54,2.61
1991-06-16,24.23,6.79,1.19
1991-06-17,23.99,7.76,0.41
1991-06-18,23.77,7.12,1.49
1991-06-19,25.0,6.93,0.26
1991-06-20,24.4,6.5,8.11
1991-06-21,24.2,4.2,8.23
1991-06-22,23.54,5.88,9.78
1991-06-23,24.3,6.78,3.04
1991-06-24,23.68,4.66,1.76
1991-06-25,21.06,2.36,0.87
1991-06-26,21.18,4.85,0.35
1991-06-27,21.74,4.32,0.37
1991-06-28,24.78,5.35,0.91
1991-06-29,26.15,6.84,0.16
1991-06-30,26.38,5.48,0.19
1991-07-01,27.22,7.09,4.7
1991-07-02,26.91,6.56,15.38
1991-07-03,26.06,7.4,4.15
1991-07-04,23.95,5.36,12.88
1991-07-05,25.25,6.41,0.68
1991-07-06,25.19,7.36,0.02
1991-07-07,24.89,4.34,0.47
1991-07-08,25.19,7.64,15.32
1991-07-09,26.16,6.64,7.76
1991-07-10,26.31,7.36,8.84
1991-07-11,26.1,7.33,2.55
1991-07-12,26.74,6.89,4.57
1991-07-13,26.79,7.24,3.48
1991-07-14,24.0,6.96,0.07
1991-07-15,23.97,7.02,0.52
1991-07-16,25.1,6.57,0.36
1991-07-17,24.07,4.76,2.6
1991-07-18,25.51,5.43,1.41
1991-07-19,25.69,6.94,0.54
1991-07-20,26.42,6.5,0.06
1991-07-21,27.04,6.93,0.0
1991-07-22,27.42,7.26,0.01
1991-07-23,27.49,7.36,3.64
1991-07-24,25.84,3.88,9.8
1991-07-25,25.04,5.55,1.94
1991-07-26,23.75,3.09,1.41
1991-07-27,24.66,6.65,0.0
1991-07-28,24.87,5.79,0.01
1991-07-29,25.99,5.97,0.0
1991-07-30,24.52,6.24,0.0
1991-07-31,23.69,7.6,0.0
1991-08-01,25.62,7.63,0.0
1991-08-02,27.58,7.24,0.0
1991-08-03,27.63,6.96,1.44
1991-08-04,27.32,7.06,1.56
1991-08-05,28.19,7.27,0.83
1991-08-06,28.91,6.0,1.13
1991-08-07,29.62,6.12,2.26
1991-08-08,26.47,5.61,7.88
1991-08-09,25.87,5.15,9.28
1991-08-10,24.99,3.93,2.64
1991-08-11,24.3,6.93,0.0
1991-08-12,24.17,6.47,0.5
1991-08-13,23.9,5.19,0.19
1991-08-14,24.09,5.72,0.2
1991-08-15,24.99,6.21,0.0
1991-08-16,25.94,5.97,0.22
1991-08-17,24.29,4.29,4.13
1991-08-18,24.9,4.87,2.31
1991-08-19,23.88,5.24,1.14
1991-08-20,21.57,6.36,0.01
1991-08-21,22.76,4.85,0.0
1991-08-22,24.99,6.67,0.0
1991-08-23,25.77,5.98,0.02
1991-08-24,26.61,5.35,0.09
1991-08-25,25.79,3.09,2.43
1991-08-26,24.87,3.11,11.59
1991-08-27,25.95,5.58,0.22
1991-08-28,25.46,4.77,2.69
1991-08-29,26.34,2.17,4.77
1991-08-30,24.88,3.74,4.22
1991-08-31,26.35,4.83,1.56
1991-09-01,27.13,5.91,0.83
1991-09-02,27.01,5.36,0.18
1991-09-03,25.63,4.77,0.36
1991-09-04,24.62,5.5,2.07
1991-09-05,23.81,4.15,1.4
1991-09-06,26.21,4.81,0.1
1991-09-07,26.18,5.63,2.24
1991-09-08,25.96,4.76,10.48
1991-09-09,25.13,2.08,9.87
1991-09-10,24.34,4.51,5.93
1991-09-11,26.08,4.42,2.44
1991-09-12,27.37,5.18,0.14
1991-09-13,28.79,5.64,0.2
1991-09-14,28.84,5.55,0.43
1991-09-15,29.42,4.91,0.11
1991-09-16,28.41,5.01,0.03
1991-09-17,26.01,4.88,1.83
1991-09-18,23.91,4.48,7.16
1991-09-19,15.36,4.52,0.23
1991-09-20,12.92,5.54,0.0
1991-09-21,16.01,5.27,0.01
1991-09-22,19.52,5.27,0.07
1991-09-23,18.98,2.78,13.3
1991-09-24,18.21,1.17,28.25
1991-09-25,15.07,5.2,3.33
1991-09-26,13.33,5.83,0.0
1991-09-27,12.9,5.71,0.0
1991-09-28,17.75,5.64,0.0
1991-09-29,19.57,5.34,0.0
1991-09-30,19.89,5.52,0.0
1991-10-01,19.9,4.86,0.06
1991-10-02,19.86,4.52,0.0
1991-10-03,21.32,4.79,0.36
1991-10-04,22.19,4.48,1.37
1991-10-05,16.15,2.17,14.63
1991-10-06,8.91,5.42,0.0
1991-10-07,9.15,5.28,0.29
1991-10-08,11.41,5.35,0.0
1991-10-09,13.67,5.27,0.0
1991-10-10,14.35,3.65,3.88
1991-10-11,15.6,4.93,0.03
1991-10-12,14.99,5.14,0.08
1991-10-13,12.82,4.95,0.01
1991-10-14,13.18,2.35,10.03
1991-10-15,11.4,3.71,0.3
1991-10-16,7.43,5.08,0.0
1991-10-17,10.73,4.91,0.01
1991-10-18,15.64,5.01,0.01
1991-10-19,12.2,4.42,0.0
1991-10-20,10.08,4.38,0.0
1991-10-21,15.17,4.45,0.0
1991-10-22,16.39,3.54,10.93
1991-10-23,17.43,1.57,14.71
1991-10-24,18.85,1.59,12.17
1991-10-25,19.94,2.87,0.19
1991-10-26,19.63,3.15,0.76
1991-10-27,19.45,2.75,14.5
1991-10-28,20.16,3.97,1.08
1991-10-29,19.15,2.05,0.07
1991-10-30,14.82,3.03,0.11
1991-10-31,16.32,3.53,0.16
1991-11-01,12.98,2.71,4.71
1991-11-02,3.29,3.83,0.0
1991-11-03,-0.84,3.83,0.0
1991-11-04,-3.77,3.53,0.0
1991-11-05,-0.53,4.01,0.0
1991-11-06,4.73,3.82,0.01
1991-11-07,4.98,2.42,0.29
1991-11-08,-0.13,2.4,0.25
1991-11-09,-0.44,3.96,0.0
1991-11-10,1.05,4.09,0.0
1991-11-11,2.2,3.91,0.0
1991-11-12,3.83,1.94,0.04
1991-11-13,5.67,3.56,0.0
1991-11-14,9.57,1.53,0.07
1991-11-15,12.52,3.11,0.02
1991-11-16,15.01,1.85,0.08
1991-11-17,16.03,2.84,0.03
1991-11-18,15.13,1.87,0.44
1991-11-19,17.25,1.25,11.73
1991-11-20,16.92,0.92,11.2
1991-11-21,12.23,1.28,19.93
1991-11-22,9.96,1.6,8.62
1991-11-23,6.79,1.69,0.1
1991-11-24,0.07,2.97,0.0
1991-11-25,-1.91,3.59,0.0
1991-11-26,1.07,3.48,0.0
1991-11-27,5.26,1.82,0.19
1991-11-28,9.29,2.65,0.0
1991-11-29,13.12,3.35,8.01
1991-11-30,15.39,0.78,54.83
1991-12-01,9.65,0.51,55.87
1991-12-02,13.52,1.42,61.75
1991-12-03,3.14,1.09,1.38
1991-12-04,-4.54,3.06,0.01
1991-12-05,-0.63,3.53,0.0
1991-12-06,3.02,3.49,0.02
1991-12-07,7.24,2.71,0.13
1991-12-08,10.8,2.82,0.9
1991-12-09,10.5,0.18,30.41
1991-12-10,5.96,3.38,0.33
1991-12-11,7.11,2.57,0.01
1991-12-12,11.3,1.28,6.27
1991-12-13,15.69,0.53,28.59
1991-12-14,5.27,1.85,0.98
1991-12-15,-0.68,3.39,0.0
1991-12-16,-0.56,3.37,0.0
1991-12-17,3.36,3.27,0.0
1991-12-18,-2.47,3.23,0.0
1991-12-19,-1.29,2.9,0.01
1991-12-20,1.27,1.63,0.18
1991-12-21,5.2,0.67,4.08
1991-12-22,9.05,0.74,5.59
1991-12-23,11.89,1.84,12.35
1991-12-24,1.24,2.46,0.1
1991-12-25,1.27,3.21,0.0
1991-12-26,4.49,3.01,0.17
1991-12-27,6.12,1.4,11.35
1991-12-28,7.24,0.61,13.5
1991-12-29,4.59,0.74,1.38
1991-12-30,1.71,1.2,0.14
1991-12-31,3.58,3.13,0.0
1992-01-01,4.13,2.85,1.15
1992-01-02,7.8,0.59,12.28
1992-01-03,6.53,0.5,2.51
1992-01-04,6.36,0.79,13.33
1992-01-05,4.69,0.74,0.98
1992-01-06,2.78,3.06,0.0
1992-01-07,3.36,2.53,0.0
1992-01-08,5.92,0.66,9.2
1992-01-09,8.15,1.92,1.19
1992-01-10,0.47,1.99,2.01
1992-01-11,0.74,2.95,0.0
1992-01-12,2.63,1.4,9.2
1992-01-13,9.01,0.97,6.06
1992-01-14,-0.27,0.67,0.63
1992-01-15,-3.83,3.07,0.22
1992-01-16,-8.15,3.45,0.0
1992-01-17,-1.65,2.86,0.0
1992-01-18,-3.35,1.66,0.27
1992-01-19,-4.76,3.52,0.0
1992-01-20,-0.91,3.62,1.11
1992-01-21,2.36,3.39,8.51
1992-01-22,5.47,1.6,3.58
1992-01-23,5.82,0.91,10.2
1992-01-24,-0.97,3.61,0.87
1992-01-25,2.7,3.82,0.06
1992-01-26,1.47,3.22,0.0
1992-01-27,4.53,1.21,0.04
1992-01-28,5.59,3.65,0.01
1992-01-29,4.6,3.18,0.0
1992-01-30,6.79,3.07,0.01
1992-01-31,5.8,4.04,0.0
1992-02-01,1.16,3.89,0.0
1992-02-02,4.26,3.62,0.0
1992-02-03,8.77,3.35,0.0
1992-02-04,7.49,3.31,0.0
1992-02-05,2.92,1.89,0.05
1992-02-06,3.59,4.09,0.01
1992-02-07,1.63,2.12,0.0
1992-02-08,-2.91,3.86,0.0
1992-02-09,-1.81,4.13,0.0
1992-02-10,2.12,3.56,0.0
1992-02-11,6.13,2.98,0.03
1992-02-12,7.49,1.74,6.28
1992-02-13,9.89,1.18,5.51
1992-02-14,9.88,1.39,6.57
1992-02-15,13.39,2.44,4.56
1992-02-16,5.54,4.58,0.02
1992-02-17,7.48,1.48,3.2
1992-02-18,11.06,2.31,0.68
1992-02-19,6.56,2.83,0.0
1992-02-20,5.2,4.99,0.0
1992-02-21,8.68,5.11,0.0
1992-02-22,10.8,4.41,0.05
1992-02-23,12.35,1.34,25.68
1992-02-24,11.55,3.18,1.3
1992-02-25,8.67,1.29,16.3
1992-02-26,2.23,1.3,7.56
1992-02-27,4.93,4.34,0.15
1992-02-28,9.97,5.51,0.29
1992-02-29,5.86,5.53,0.0
1992-03-01,8.19,5.53,0.0
1992-03-02,12.08,4.83,0.0
1992-03-03,14.64,3.54,0.01
1992-03-04,14.78,3.83,0.16
1992-03-05,15.45,1.97,1.01
1992-03-06,14.81,2.88,1.72
1992-03-07,14.88,5.21,0.84
1992-03-08,14.04,5.32,0.01
1992-03-09,15.77,3.25,16.11
1992-03-10,5.47,1.08,37.54
1992-03-11,-2.06,5.63,0.12
1992-03-12,1.44,1.83,1.48
1992-03-13,-0.29,5.94,0.0
1992-03-14,4.03,5.65,0.33
1992-03-15,1.78,4.1,0.01
1992-03-16,3.28,6.14,0.0
1992-03-17,11.48,5.64,0.36
1992-03-18,14.69,0.96,23.14
1992-03-19,11.22,1.85,2.38
1992-03-20,4.91,4.9,0.54
1992-03-21,7.11,6.55,0.36
1992-03-22,6.88,0.76,7.45
1992-03-23,2.49,6.4,0.01
1992-03-24,6.27,6.65,0.01
1992-03-25,8.94,1.62,7.38
1992-03-26,10.41,5.77,1.05
1992-03-27,4.01,6.84,0.02
1992-03-28,6.86,6.58,0.0
1992-03-29,10.93,1.39,5.04
1992-03-30,11.7,1.78,6.73
1992-03-31,7.83,5.44,0.02
1992-04-01,5.4,2.05,0.7
1992-04-02,1.95,4.48,0.0
1992-04-03,3.94,6.5,0.0
1992-04-04,8.28,6.5,0.34
1992-04-05,7.3,6.85,0.1
1992-04-06,9.07,2.56,0.75
1992-04-07,12.27,2.2,2.89
1992-04-08,14.83,6.5,0.06
1992-04-09,16.29,5.02,0.53
1992-04-10,18.12,5.8,0.46
1992-04-11,19.36,6.33,1.04
1992-04-12,14.87,5.58,0.03
1992-04-13,14.15,7.36,0.0
1992-04-14,19.04,6.25,0.19
1992-04-15,19.84,4.49,2.53
1992-04-16,19.33,6.59,0.25
1992-04-17,18.54,6.61,1.37
1992-04-18,20.04,6.08,0.26
1992-04-19,18.26,1.91,3.62
1992-04-20,20.06,2.21,3.13
1992-04-21,16.36,6.84,22.33
1992-04-22,15.91,7.74,0.0
1992-04-23,18.56,7.35,0.2
1992-04-24,19.05,5.81,0.42
1992-04-25,10.09,5.53,0.1
1992-04-26,7.5,2.15,0.32
1992-04-27,7.2,3.91,0.76
1992-04-28,8.41,5.06,0.01
1992-04-29,11.14,7.76,0.23
1992-04-30,17.29,4.64,0.02
1992-05-01,19.94,7.73,0.0
1992-05-02,20.66,7.0,0.98
1992-05-03,17.84,7.76,1.95
